+----+-------------------------+-------------+-----------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| id | received_at             | type        | session_id      | payload                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 46 | 2026-02-27 00:36:12.033 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 457, "y": 259, "event": "mousemove"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 45 | 2026-02-27 00:36:11.444 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 467, "y": 384, "event": "mousemove"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 44 | 2026-02-27 00:36:11.213 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 0, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 43 | 2026-02-27 00:36:11.197 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 2, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| 42 | 2026-02-27 00:36:11.181 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 30, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 41 | 2026-02-27 00:36:11.164 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 40, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 40 | 2026-02-27 00:36:10.833 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 465, "y": 381, "event": "mousemove"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 39 | 2026-02-27 00:36:10.713 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 41, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 38 | 2026-02-27 00:36:10.696 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 42, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 37 | 2026-02-27 00:36:10.680 | activity    | sn-0wo4f8xmu55f | {"type": "activity", "payload": {"x": 0, "y": 44, "event": "scroll"}, "session_id": "sn-0wo4f8xmu55f"}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
